Name,,r,"log10(Gs(r,t))",std,"log10(Gs(r,t))",std,"log10(Gs(r,t))",std,"log10(Gs(r,t))",std,"log10(Gs(r,t))",std,"log10(Gs(r,t))",std,,r,"log10(Gs(r,t))",r,"log10(Gs(r,t))",r,"log10(Gs(r,t))",r,"log10(Gs(r,t))",r,"log10(Gs(r,t))",r,"log10(Gs(r,t))",,r,"log10(Gs(r,t))",std,"log10(Gs(r,t))",std,"log10(Gs(r,t))",std,"log10(Gs(r,t))",std,"log10(Gs(r,t))",std,"log10(Gs(r,t))",std,,r,"log10(Gs(r,t))",r,"log10(Gs(r,t))",r,"log10(Gs(r,t))",r,"log10(Gs(r,t))",r,"log10(Gs(r,t))",r,"log10(Gs(r,t))"
Unit,,考,,,,,,,,,,,,,,考,,考,,考,,考,,考,,考,,,考,,,,,,,,,,,,,,考,,考,,考,,考,,考,,考,
Note,"耳_TC=10^-3.5, p_d=10^-3.0, Simulation",,t=100而,t=100而,t=500而,t=500而,t=1000而,t=1000而,t=10000而,t=10000而,t=50000而,t=50000而,t=100000而,t=100000而,"耳_TC=10^-3.5, p_d=10^-3.0, Theory",t=100而,t=100而,t=500而,t=500而,t=1000而,t=1000而,t=10000而,t=10000而,t=50000而,t=50000而,t=100000而,t=100000而,"耳_TC=10^-2.0, p_d=10^-5.0, Simulation",,t=100而,t=100而,t=500而,t=500而,t=1000而,t=1000而,t=10000而,t=10000而,t=50000而,t=50000而,t=100000而,t=100000而,"耳_TC=10^-2.0, p_d=10^-5.0, Theory",t=100而,t=100而,t=500而,t=500而,t=1000而,t=1000而,t=10000而,t=10000而,t=50000而,t=50000而,t=100000而,t=100000而
,,2.85,-2.49973,0.00142,-2.91511,0.0151,-3.18693,0.01377,-4.57513,0.17094,-5.99022,0.36705,NaN,NaN,,2.80001,-2.47786,4.20001,-3.12801,5.60001,-3.54265,16.80001,-5.01301,28.00001,-5.945,42.00001,-6.41473,,2.85,-2.72743,0.02853,-2.57152,0.01274,-2.65987,0.02706,-3.19872,0.06088,-4.58433,0.53073,-5.08796,0.00282,,2.80001,-2.7286,4.20001,-3.11759,5.60001,-3.66604,9.80001,-4.18921,15.40001,-4.78336,18.20001,-5.11411
,,2.95,-2.54582,0.00334,-2.93426,0.01445,-3.20032,0.00532,-4.61335,0.18599,-5.88921,0.14004,NaN,NaN,,2.90001,-2.52988,4.35001,-3.15177,5.80001,-3.56379,17.40001,-5.03206,29.00001,-5.95558,43.50001,-6.42663,,2.95,-2.82038,0.03143,-2.60389,0.00736,-2.68483,0.02282,-3.22033,0.06728,-4.55968,0.43525,-5.08295,0.05089,,2.90001,-2.83044,4.35001,-3.19375,5.80001,-3.75275,10.15001,-4.24272,15.95001,-4.81244,18.85001,-5.13399
,,3.05,-2.59297,0.0046,-2.94232,0.00876,-3.20776,0.00886,-4.64521,0.24503,-6.00418,0.3794,NaN,NaN,,3.00001,-2.58371,4.50001,-3.17635,6.00001,-3.58567,18.00001,-5.05177,30.00001,-5.96653,45.00001,-6.43895,,3.05,-2.91301,0.0306,-2.64292,0.00848,-2.71436,0.01896,-3.24943,0.06729,-4.60812,0.56723,-5.50942,0.76879,,3.00001,-2.93576,4.50001,-3.2718,6.00001,-3.8391,10.50001,-4.29695,16.50001,-4.84241,19.50001,-5.15453
,,3.15,-2.64816,0.00444,-2.95278,0.01248,-3.21156,0.00832,-4.64627,0.1721,-5.94736,0.41891,NaN,NaN,,3.10001,-2.63936,4.65001,-3.20176,6.20001,-3.60829,18.60001,-5.07215,31.00001,-5.97785,46.50001,-6.45169,,3.15,-3.01212,0.02606,-2.67468,0.00453,-2.74347,0.02139,-3.26735,0.05852,-4.60473,0.5353,-5.52299,0.73647,,3.10001,-3.04455,4.65001,-3.35163,6.20001,-3.92486,10.85001,-4.35188,17.05001,-4.87327,20.15001,-5.17574
,,3.25,-2.69774,0.01054,-2.96743,0.01722,-3.22508,0.01061,-4.60923,0.1246,-5.81309,0.2434,NaN,NaN,,3.20001,-2.69682,4.80001,-3.22801,6.40001,-3.63165,19.20001,-5.09319,32.00001,-5.98955,48.00001,-6.46484,,3.25,-3.11722,0.02875,-2.71035,0.00745,-2.77193,0.01946,-3.28065,0.05782,-4.56154,0.4701,-5.50963,0.63648,,3.20001,-3.1568,4.80001,-3.43311,6.40001,-4.00988,11.20001,-4.40749,17.60001,-4.90501,20.80001,-5.19762
,,3.35,-2.75312,0.0108,-2.98112,0.01914,-3.23255,0.0086,-4.60803,0.17872,-5.8431,0.49001,NaN,NaN,,3.30001,-2.7561,4.95001,-3.25509,6.60001,-3.65575,19.80001,-5.11491,33.00001,-6.00161,49.50001,-6.47842,,3.35,-3.22567,0.03263,-2.74511,0.00794,-2.80165,0.01928,-3.29077,0.05937,-4.5398,0.4384,-5.31638,0.43738,,3.30001,-3.27249,4.95001,-3.51612,6.60001,-4.09408,11.55001,-4.46376,18.15001,-4.93761,21.45001,-5.22016
,,3.45,-2.8098,0.01051,-2.99235,0.01096,-3.24253,0.01083,-4.59605,0.19152,-5.70806,0.68435,NaN,NaN,,3.40001,-2.81719,5.10001,-3.283,6.80001,-3.6806,20.40001,-5.13729,34.00001,-6.01405,51.00001,-6.49241,,3.45,-3.33134,0.0266,-2.7849,0.00562,-2.83398,0.01864,-3.30569,0.06984,-4.57397,0.48211,-5.30168,0.40374,,3.40001,-3.39161,5.10001,-3.60051,6.80001,-4.17741,11.90001,-4.52069,18.70001,-4.97106,22.10001,-5.24335
,,3.55,-2.86646,0.0072,-3.01029,0.01311,-3.25138,0.01901,-4.5935,0.17792,-5.7067,0.22419,NaN,NaN,,3.50001,-2.88009,5.25001,-3.31174,7.00001,-3.70618,21.00001,-5.16034,35.00001,-6.02686,52.50001,-6.50682,,3.55,-3.43483,0.03248,-2.82059,0.00531,-2.85947,0.0185,-3.31516,0.07067,-4.62005,0.54624,-5.22392,0.42842,,3.50001,-3.51413,5.25001,-3.68614,7.00001,-4.25989,12.25001,-4.57825,19.25001,-5.00536,22.75001,-5.2672
,,3.65,-2.92288,0.00847,-3.02621,0.0176,-3.2594,0.02053,-4.60911,0.22486,-5.84633,0.35594,NaN,NaN,,3.60001,-2.94481,5.40001,-3.34131,7.20001,-3.73251,21.60001,-5.18406,36.00001,-6.04003,54.00001,-6.52164,,3.65,-3.55258,0.03048,-2.86282,0.0038,-2.88972,0.01534,-3.31971,0.07236,-4.6093,0.56266,-5.16096,0.29872,,3.60001,-3.64005,5.40001,-3.77287,7.20001,-4.34159,12.60001,-4.63644,19.80001,-5.04049,23.40001,-5.2917
,,3.75,-2.98348,0.01091,-3.04846,0.00826,-3.27329,0.02142,-4.65012,0.25241,-5.82479,0.30476,NaN,NaN,,3.70001,-3.01134,5.55001,-3.37172,7.40001,-3.75958,22.20001,-5.20845,37.00001,-6.05359,55.50001,-6.53689,,3.75,-3.66712,0.03319,-2.90723,0.00755,-2.91963,0.01695,-3.336,0.06568,-4.60209,0.52948,-5.51867,0.7195,,3.70001,-3.76935,5.55001,-3.86054,7.40001,-4.4226,12.95001,-4.69524,20.35001,-5.07645,24.05001,-5.31685
