   timestep             momentum      temperature  total_potential   total_pressure
      20200      1.044854336e-08     0.3473775387      98026.16406   -0.05683555081
      20300      5.921364732e-09     0.3484607041      98038.09375   -0.05685903132
      20400      7.688328196e-09     0.3493089378      98049.71875   -0.05688426644
      20500      7.357911613e-09     0.3510737121      98061.10938    -0.0569062531
      20600      5.119811242e-09       0.35158059      98072.53125   -0.05693570524
      20700      7.561296478e-09     0.3528402448      98083.59375   -0.05696251243
      20800      1.190682575e-08     0.3546879888      98094.10938   -0.05698839948
      20900      1.069505817e-08     0.3548802733      98104.23438    -0.0570243299
      21000       1.13198988e-08     0.3563331664      98113.95312   -0.05705475807
      21100      3.813381166e-09     0.3570640981      98123.35156   -0.05709112063
      21200       1.13586287e-08     0.3592941165      98132.21875   -0.05712212622
      21300      1.092751489e-08     0.3601354957      98140.89062   -0.05716125667
      21400      7.791058465e-09     0.3608513176      98149.40625   -0.05720209703
      21500      7.310172023e-09     0.3615486324      98157.85156   -0.05724463612
      21600      9.171603033e-09     0.3629544079      98166.14844   -0.05728477985
      21700      8.828642706e-09     0.3648370504      98174.51562   -0.05732244626
      21800      1.153257756e-08      0.366663754      98182.85156   -0.05735973641
      21900      5.035285078e-09     0.3693152666      98191.32031   -0.05739173293
      22000      5.007875004e-09     0.3713698089      98200.08594   -0.05742613599
      22100      1.164477137e-08     0.3723810315      98209.17969   -0.05746428668
      22200      5.245267776e-09     0.3735563159      98219.14062   -0.05749915168
      22300       1.03639568e-08     0.3745150566      98229.71875   -0.05753340572
      22400      6.828153598e-09     0.3743472099      98240.64844   -0.05757172033
      22500      7.121376822e-09     0.3747569323      98251.63281   -0.05760537833
      22600      5.983118445e-09     0.3761790395      98262.82812   -0.05763328448
      22700      8.498218129e-09     0.3765546381      98274.15625   -0.05766469985
      22800      6.974024913e-09     0.3769021928       98285.6875   -0.05769457296
      22900      1.036472153e-08     0.3766535223      98297.26562   -0.05772669986
      23000      9.732008088e-09     0.3766552806      98308.76562   -0.05775879696
      23100      2.328329307e-09     0.3774899244      98320.24219   -0.05778696388
      23200      5.323228969e-09      0.379223913      98331.46875   -0.05781120807
      23300        1.0300794e-08     0.3802862167      98342.20312   -0.05784013122
      23400      2.700229373e-09      0.380895555      98352.38281   -0.05787248909
      23500      3.438332064e-09     0.3822401762      98362.11719   -0.05790252984
      23600      6.434608402e-09     0.3822544813      98371.21875   -0.05794097483
      23700      1.223353863e-08     0.3837605119      98379.77344   -0.05797357857
      23800      9.978875504e-09     0.3848421574      98387.95312   -0.05800961331
      23900      1.129442584e-08     0.3849051595      98395.71875    -0.0580518879
      24000      5.020472926e-09     0.3856652975      98403.10156   -0.05809098855
      24100      1.165589225e-08     0.3868904114      98409.73438   -0.05812865496
      24200       9.82028503e-09     0.3882175088      98416.26562   -0.05816502869
      24300      1.105147529e-08     0.3902504146      98422.46875   -0.05819758773
      24400      1.463002608e-08     0.3923113942      98428.70312   -0.05822910368
      24500      1.237922831e-08     0.3948911726      98435.10938   -0.05825603008
      24600      1.112421621e-08      0.395965308      98441.70312    -0.0582886748
      24700      5.891112487e-09     0.3983570337      98448.65625   -0.05831250548
      24800      2.527773546e-09     0.3997621238      98455.85938    -0.0583387278
      24900      8.266697549e-09     0.4004161954      98463.48438   -0.05836598575
      25000      7.907742017e-09     0.4021737576         98471.25   -0.05838569626
      25100      6.449135892e-09      0.404112637      98479.51562   -0.05840259045
      25200      8.078710145e-09     0.4052837491      98488.10938   -0.05842088908
      25300      1.264058991e-08     0.4067783952      98496.92188   -0.05843595415
      25400      7.742435137e-09     0.4085265398      98506.17188   -0.05844807625
      25500      9.578450033e-09     0.4098245502      98515.96875   -0.05846012384
      25600      1.027342567e-08     0.4102708697      98526.00781   -0.05847541988
      25700      8.568526333e-09     0.4117334187      98536.42188   -0.05848393962
      25800       4.13393364e-09     0.4125044346      98546.89062    -0.0584940128
